ticker,equal_weight,hrp,score_tilted
VZN.SW,0.050000,0.073572,0.053650
UCB.BR,0.050000,0.045301,0.048163
ZURN.SW,0.050000,0.050842,0.054600
SBMO.AS,0.050000,0.069292,0.054843
HSBA.L,0.050000,0.022151,0.052695
CS.PA,0.050000,0.048231,0.051503
SREN.SW,0.050000,0.027401,0.053888
NHY.OL,0.050000,0.049441,0.056035
NWG.L,0.050000,0.014150,0.054362
ISP.MI,0.050000,0.041761,0.049118
BFT.WA,0.050000,0.037251,0.039105
A5G.IR,0.050000,0.030361,0.055317
BIRG.IR,0.050000,0.024631,0.053407
ENX.PA,0.050000,0.099523,0.044823
SLHN.SW,0.050000,0.073162,0.040772
BEZ.L,0.050000,0.033101,0.050311
AV.L,0.050000,0.061762,0.053170
ALFA.ST,0.050000,0.081282,0.056272
G.MI,0.050000,0.057142,0.036002
ALV.DE,0.050000,0.059642,0.041964
