ticker,annual_volatility_pct,beta,exclusion_reason
ABVX.PA,175.89,,volatility_cap
AIXA.DE,50.31,,volatility_cap
ARGX.BR,43.88,,volatility_cap
ASM.AS,40.45,,volatility_cap
BAMI.MI,41.41,,volatility_cap
BESI.AS,43.5,,volatility_cap
BIRG.IR,42.66,,volatility_cap
BPE.MI,41.59,,volatility_cap
CAMX.ST,43.31,,volatility_cap
CBK.DE,41.21,,volatility_cap
CDR.WA,42.58,,volatility_cap
FRES.L,42.84,,volatility_cap
FRO.OL,47.43,,volatility_cap
HOC.L,54.96,,volatility_cap
LPP.WA,42.6,,volatility_cap
MBK.WA,40.76,,volatility_cap
METSO.HE,41.56,,volatility_cap
MT.AS,42.06,,volatility_cap
PAF.L,53.07,,volatility_cap
STM,43.14,,volatility_cap
TPE.WA,41.58,,volatility_cap
ZEAL.CO,51.31,,volatility_cap
ZEG.L,113.54,,volatility_cap
