ticker,dimension,rating,quote,page,priority,verified_by,verification_date,verification_result,corrected_rating
ZURN.SW,metric,LOW,our climate transition plan towards our ambition to become a net-zero business b,6.0,SAMPLE,,,,
ZURN.SW,time_horizon,LOW,our climate transition plan towards our ambition to become a net-zero business b,6.0,SAMPLE,,,,
SPSN.SW,scope,LOW,net-zero operations in our property portfolio by 2040,3.0,SAMPLE,,,,
AZN.L,consistency,LOW,the aim of achieving science-based net zero ... to achieve net zero by 2045,9.0,SAMPLE,,,,
ALFA.ST,verification,LOW,The ambition is to achieve net zero scope 1 and 2 GHG emissions by 2027,18.0,SAMPLE,,,,
SOBI.ST,scope,LOW,Net zero 2050 (long-term),54.0,SAMPLE,,,,
SBMO.AS,scope,LOW,Including the use of certified climate projects to compensate any residual scope,12.0,SAMPLE,,,,
AZN.L,target,LOW,the aim of achieving science-based net zero ... to achieve net zero by 2045,9.0,SAMPLE,,,,
SBMO.AS,time_horizon,LOW,Including the use of certified climate projects to compensate any residual scope,12.0,SAMPLE,,,,
SPSN.SW,verification,MED,net-zero operations in our property portfolio by 2040,3.0,SAMPLE,,,,
ORNBV.HE,target,LOW,Orion has committed to reach net-zero emissions by 2050,63.0,SAMPLE,,,,
AGN.AS,time_horizon,LOW,the carbon footprint by 30% by 2030 and achieving net-zero,33.0,SAMPLE,,,,
A5G.IR,consistency,LOW,Commitment to decarbonise our own operations by 2030 and our customer [lending p,6.0,SAMPLE,,,,
LLOY.L,baseline,LOW,a real-economy transition to net zero,21.0,SAMPLE,,,,
SOBI.ST,specificity,LOW,Net zero 2050 (long-term),54.0,SAMPLE,,,,
SOBI.ST,verification,LOW,Net zero 2050 (long-term),54.0,SAMPLE,,,,
TEL2-B.ST,specificity,LOW,aiming for net zero greenhouse gas [emissions] ... targeting net-zero by 2035,68.0,SAMPLE,,,,
MRL.MC,target,LOW,"MERLIN launched its 'Pathway to Net Zero' strategy, a roadmap",5.0,SAMPLE,,,,
SBMO.AS,baseline,LOW,Including the use of certified climate projects to compensate any residual scope,12.0,SAMPLE,,,,
ORNBV.HE,specificity,LOW,Orion has committed to reach net-zero emissions by 2050,63.0,SAMPLE,,,,
UCB.BR,target,LOW,UCB is committed to net zero ... SBTi Net-Zero standard,28.0,SAMPLE,,,,
ORNBV.HE,baseline,LOW,Orion has committed to reach net-zero emissions by 2050,63.0,SAMPLE,,,,
A5G.IR,time_horizon,LOW,Commitment to decarbonise our own operations by 2030 and our customer [lending p,6.0,SAMPLE,,,,
A5G.IR,metric,LOW,Commitment to decarbonise our own operations by 2030 and our customer [lending p,6.0,SAMPLE,,,,
SOBI.ST,consistency,LOW,Net zero 2050 (long-term),54.0,SAMPLE,,,,
MRL.MC,consistency,LOW,"MERLIN launched its 'Pathway to Net Zero' strategy, a roadmap",5.0,SAMPLE,,,,
SBMO.AS,metric,LOW,Including the use of certified climate projects to compensate any residual scope,12.0,SAMPLE,,,,
EOAN.DE,specificity,LOW,reduce our own carbon emissions and aim to achieve climate neutrality by 2040,6.0,SAMPLE,,,,
TEL2-B.ST,target,LOW,aiming for net zero greenhouse gas [emissions] ... targeting net-zero by 2035,68.0,SAMPLE,,,,
ZURN.SW,specificity,LOW,our climate transition plan towards our ambition to become a net-zero business b,6.0,SAMPLE,,,,
SPSN.SW,specificity,LOW,net-zero operations in our property portfolio by 2040,3.0,SAMPLE,,,,
UCB.BR,verification,LOW,UCB is committed to net zero ... SBTi Net-Zero standard,28.0,SAMPLE,,,,
EOAN.DE,time_horizon,LOW,reduce our own carbon emissions and aim to achieve climate neutrality by 2040,6.0,SAMPLE,,,,
SUBC.OL,target,MED,Net-Zero Scope 1 and 2 GHG emissions by 2050 ... through its decarbonisation pla,90.0,SAMPLE,,,,
NHY.OL,baseline,LOW,Hydro's target is to be a net-zero company by 2050 or [earlier],22.0,SAMPLE,,,,
LI.PA,target,LOW,the Group's 2030 net-zero commitment (scopes 1 and 2),55.0,SAMPLE,,,,
GALE.SW,scope,LOW,aim to achieve net zero emissions by 2050,65.0,SAMPLE,,,,
GALE.SW,baseline,LOW,aim to achieve net zero emissions by 2050,65.0,SAMPLE,,,,
LLOY.L,scope,LOW,a real-economy transition to net zero,21.0,SAMPLE,,,,
ALFA.ST,baseline,LOW,The ambition is to achieve net zero scope 1 and 2 GHG emissions by 2027,18.0,SAMPLE,,,,
SOBI.ST,baseline,LOW,Net zero 2050 (long-term),54.0,SAMPLE,,,,
SPSN.SW,baseline,MISSING,net-zero operations in our property portfolio by 2040,3.0,SAMPLE,,,,
AGN.AS,baseline,LOW,the carbon footprint by 30% by 2030 and achieving net-zero,33.0,SAMPLE,,,,
SBMO.AS,specificity,MED,Including the use of certified climate projects to compensate any residual scope,12.0,SAMPLE,,,,
MRL.MC,baseline,LOW,"MERLIN launched its 'Pathway to Net Zero' strategy, a roadmap",5.0,SAMPLE,,,,
ITX.MC,time_horizon,LOW,"Achieve net-zero emissions, reducing at least 90% of our carbon [emissions]",26.0,SAMPLE,,,,
AGN.AS,metric,LOW,the carbon footprint by 30% by 2030 and achieving net-zero,33.0,SAMPLE,,,,
ORNBV.HE,verification,LOW,Orion has committed to reach net-zero emissions by 2050,63.0,SAMPLE,,,,
